Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
29522842263,[BW Gift mới]  Sữa dưỡng thể Vaseline 70ml (mẫu ngẫu nhiên),"200,0k",200k+,Unilever Chăm Sóc Sắc Đẹp,"4,5%",₫8.000,https://shopee.vn/product/1397276155/29522842263,https://s.shopee.vn/3fyobJ36CC
40774336580,"[Sample 2ml] [Hàng Tặng Kèm Không Bán] Kem Dưỡng BEPLAIN PDRN Rau Má đàn hồi & trẻ hóa làn da, cấp ẩm & căng bóng Cica PDRN 2ml","180,0k",70k+,Beplain Vietnam,"4,5%",₫7.200,https://shopee.vn/product/468195803/40774336580,https://s.shopee.vn/3qIEnc2SrF
44305151205,"[Sample 2ml] [ Hàng Tặng Kèm Không Bán] Tinh Chất Serum Rau Má PDRN – Phục Hồi, Cấp Ẩm, Căng bóng, Tái Sinh Làn da & Giúp da săn chắc 2ml","200,0k",70k+,Beplain Vietnam,"4,5%",₫8.000,https://shopee.vn/product/468195803/44305151205,https://s.shopee.vn/3LLyCh4MsA
24127826015,"Kem dưỡng Cao cấp Five Grains trắng da Niacinamide, Alpha-Arbutin nâng tone ban ngày 200ML","159,0k",100k+,Five Grains Vietnam,"12,5%",₫19.080,https://shopee.vn/product/562490219/24127826015,https://s.shopee.vn/3VfOP03jXD
25894465179,"[10ml Hàng Tặng Kèm Không Bán] Tinh chất BEPLAIN PDRN Rau Má phục hồi & tái sinh tổn thương cho da trẻ hoá, cấp ẩm & căng bóng Cica PDRN Skin Booster Serum 10ml","200,0k",80k+,Beplain Vietnam,"4,5%",₫8.000,https://shopee.vn/product/468195803/25894465179,https://s.shopee.vn/4LEVOX0YqO
531577271,[DAILY] Kem Rửa Mặt Hada Labo Sạch Sâu Dưỡng Ẩm 80g Hasaki Sản Phẩm Chính Hãng,"68,0k",300k+,HASAKI VIETNAM,"4,5%",₫2.720,https://shopee.vn/product/18644537/531577271,https://s.shopee.vn/4VXvapzvVR
22504415135,Ositree Kem lót mặt trang điểm Kem lót cách ly Kem dưỡng ẩm Hydrating Brightening  Tone-up25g,"160,0k",80k+,Ositree Official flagship,"13,5%",₫20.800,https://shopee.vn/product/850624476/22504415135,https://s.shopee.vn/40bezv1pWM
29118467747,Serum Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 7 Ngày 300ML/330 ML (tùy đợt nhập hàng),"140,0k",200k+,Unilever Chăm Sóc Sắc Đẹp,"10,5%",₫14.000,https://shopee.vn/product/1397276155/29118467747,https://s.shopee.vn/4Av5CE1CBP
42521803525,OSITREE Face Primer Trang điểm BasePrier lsolation Kem dưỡng ẩmHydrating Bright Kem che khuyết điểm Toneup25g,"160,0k",20k+,Ositree Official flagship,"14,5%",₫22.400,https://shopee.vn/product/850624476/42521803525,https://s.shopee.vn/50UCBky1Ua
8878211498,"[Torriden Chính hãng] Kem dưỡng làm dịu da DIVE IN chứa Hyaluronic Acid, 100ml, Soothing Cream","343,2k",100k+,VN_Torriden Official Store,"19,5%",₫65.208,https://shopee.vn/product/436346871/8878211498,https://s.shopee.vn/5AncO3xO9d
