"AffiliateItemCard href","ItemCard__image src","ItemCard__name"
"https://affiliate.shopee.vn/offer/product_offer/47853145505?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-820l4-mia5w8e9i4g081.webp","[Gift] Gói Dầu Gội Hương Nước Hoa Romano Classic 5g/gói"
"https://affiliate.shopee.vn/offer/product_offer/25641656202?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-820l4-mjfbgdr936dhdb.webp","Dầu gội nhuộm tóc tạo bọt, Thuốc nhuộm tóc dạng bọt chiết xuất thiên nhiên | Chenglovehair, Chenglovehairs"
"https://affiliate.shopee.vn/offer/product_offer/26438252127?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/sg-11134201-825zs-mlmx4agwjpj684.webp","Bộ đôi dầu gội xả ngăn ngừa & giảm gãy rụng tóc, giúp tóc chắc khỏe hơn L’oreal Paris Elseve Full Resist 440ml"
"https://affiliate.shopee.vn/offer/product_offer/45350401368?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-820l4-mgvpf2pzpf66ae.webp","[1 Quà tặng bất kỳ - Không chọn] Nước lau đa năng 500ml, tinh dầu On1, Bondy mist 30ml, Dầu gội Bondy 250g,..."
"https://affiliate.shopee.vn/offer/product_offer/55852819731?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-820l4-mibcw7jf8d8n73.webp","[QUÀ TẶNG KHÔNG BÁN] Dầu gội ngăn ngừa & giảm gãy rụng tóc, giúp tóc chắc khỏe hơn L’oreal Paris Full Resist 80ml"
"https://affiliate.shopee.vn/offer/product_offer/28668614090?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-mlfrhsno8poo48.webp","[Diện mạo mới] Combo Dầu Gội, Dầu Xả TRESemmé Keratin Smooth Keratinbond+ Cho Tóc Khô Xơ Rối Vào Nếp Suôn Mượt 640g,620g"
"https://affiliate.shopee.vn/offer/product_offer/15462059521?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/sg-11134201-825zk-mlmx4gxa6gp0aa.webp","Bộ gội xả dưỡng tóc suôn mượt cao cấp L'Oreal Paris Extraordinary Oil Smooth 440ml x2"
"https://affiliate.shopee.vn/offer/product_offer/29111618609?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-7ras8-m2hyk1vp64ducb.webp","Dầu Gội Bồ Kết Thorakao Dưỡng Tóc Đen Bóng Suôn Mượt 750ml/400ml"
"https://affiliate.shopee.vn/offer/product_offer/15499167073?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-ml7ingmeps0112.webp","Dầu Gội Đầu Khô SPES Dạng Xịt Dưỡng Tóc Tạo Phồng Cấp Tốc, Hút Dầu Không Bết Giữ Nếp 50/100/150/200ml"
"https://affiliate.shopee.vn/offer/product_offer/4187609198?trace=%7B%22trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C655400%2C657568%2C657585%2C635297%5D%2C%22root_trace_id%22%3A%220.xj1SRoaBLr.200%22%2C%22root_list_type%22%3A200%7D","https://down-aka-vn.img.susercontent.com/vn-11134207-81ztc-mla4gh3qj6z3c8.webp","Dầu Gội Dược Liệu Nguyên Xuân Xanh Dưỡng Tóc 365g KM 35g - giá không đổi"
